,IE0005042456,IE000BI0GCN3,IE000T9EOCL3,IE00B0M62X26,IE00B14X4Q57,IE00B1XNHC34,IE00B3FH7618,IE00B3ZW0K18,IE00B52MJY50,IE00B52VJ196,IE00B5M4WH52,IE00B66F4759,IE00B9M6RS56,IE00BD8PGZ49,IE00BDFK1573,IE00BDZVH966,IE00BFNM3G45,IE00BGPP6697,IE00BH4G7D40,IE00BHZPJ015,IE00BHZPJ239,IE00BHZPJ452,IE00BHZPJ783,IE00BHZPJ908,IE00BLDGH553,IE00BMDFDY08,IE00BMG6Z448,IE00BYYHSM20,IE00BYZTVT56,IE00BZ173V67,IE00BZ1NCS44
46,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937,4.865858300526937
47,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535,4.8632416248321535
48,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376,4.859874963760376
49,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638,4.857508293787638
50,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929,4.85549996693929
51,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825,4.852799956003825
52,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794,4.848466618855794
53,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719,4.842116626103719
54,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159,4.835249964396159
55,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719,4.828733301162719
